website,server,server_version,os,jquery_version,http_only,x_xss_protection,strict_transport_security,cms,cms_version,x_powered_by,x_powered_by_version,x_frame_options,content_security_policy,country,ip
xlengine.com,"apache",,,,False,0,,,,,,,False,,"185.176.40.58"
puppiesshirt.com,"cloudflare",,,,True,0,,"WordPress","5.4.1","PHP","7.4.4RC1",,False,"US","104.27.128.71"
www.pinnaclehire.com,"cloudflare",,,,True,0,,"WordPress",,"PHP","7.1.33",,False,"US","104.28.30.161"
fxpopsan.com,"microsoft-IIS","8.5",,"3.3.1",False,0,,,,"ASP.NET",,,False,"SG","182.50.132.39"
sweetmoda.by,"nginx",,,"2.1.1",True,0,,"OpenCart",,"PHP","5.6.40",,False,"BY","178.172.137.177"
www.abakusbilisim.com,"Pepyaka","1.15.10",,,True,0,,"Wix",,,,,False,"US","35.246.6.109"
www.kipriotis.gr,"apache",,,"1.12.3",True,0,,,,,,"SAMEORIGIN",False,"US","159.69.69.122"
fti.kg,"nginx","1.10.2",,"1.12.4",False,0,,"WordPress","4.9.14","PHP","7.2.29",,False,"KG","176.126.165.51"
rsenreatking.cf,"cloudflare",,,,True,0,,,,,,"DENY",False,"US","104.27.144.174"
www.windlelondon.com,"cloudflare",,,"1.12.4",True,0,,"WordPress","4.9.14","PHP","7.0.33, PleskLin",,False,"US","104.28.19.44"
www.lagrangeil.gov,"microsoft-IIS","8.5",,"1.6.4",True,"1  mode=block",,,,,,,False,"US","208.90.190.81"
www.financepartner.al,"apache","2",,,False,0,,"WordPress",,"PHP","7.1.1",,False,"US","66.96.147.105"
www.goose-racing.at,"apache",,,"3.4.1",False,0,,"WordPress","5.4.1","PHP","7.3.16",,False,"DE","217.160.0.132"
phuocchau.vn,"openresty",,,,False,"1  mode=block","max-age=604800",,,,,,False,"VN","210.245.125.93"
coz-u.net,"apache","2.2.3","CentOS",,False,0,,,,,,,False,"ID","202.153.31.18"
www.gritproperty.com.au,"cloudflare",,,"3.1.1",True,"1  mode=block",,,,,,"ALLOWALL",False,"US","104.27.182.27"
www.fiberinternetaboneligi.com,"nginx",,,,False,0,,"WordPress","5.4.1","PHP","7.3.17, PleskLin",,False,"TR","93.184.144.56"
www.bargatedrinks.com,"apache",,,"1.11.0",False,0,,"WordPress","3.9.31",,,,False,"GB","91.103.219.226"
speconthejob.com,"Sucuri","Cloudproxy",,,False,"1  mode=block",,"WordPress","5.4.1",,,"SAMEORIGIN",False,"ZZ","192.124.249.157"
deadmilkmen.com,"apache",,,,False,0,,,,,,,False,"US","66.33.222.134"
masteremonta.ru,"Jino.ru","mod_pizza",,"1.11.0",False,0,,,,,,,False,"RU","81.177.165.222"
www.attaccalite.com,"apache",,,"1.12.4",False,0,,"WordPress","4.8.13",,,,False,"IT","62.149.142.214"
mimmag.ir,,,,"1.12.4",False,0,,,,,,,False,"UA","95.216.3.76"
bizeurope.com,"apache",,,,False,0,,,,"PleskLin",,,False,"NL","83.172.130.135"
www.kumano-world.com,"apache",,,,False,0,,,,,,,False,"CA","216.194.66.48"
skully.com,"cloudflare",,,,True,"1  mode=block","max-age=7889238",,,,,"DENY",False,"CA","23.227.38.32"
strongerresistancebands.com,"cloudflare",,,"2.2.3",True,"1  mode=block","max-age=7889238","Shopify",,,,"DENY",False,"CA","23.227.38.65"
truyendoc.info,"microsoft-IIS","8.5",,"1.11.3",True,0,,,,"ASP.NET",,,False,,"103.63.212.103"
champagnevillage.org,"cloudflare",,,"2.2.4",True,0,,,,,,,False,"US","104.18.56.230"
qn268.org,"microsoft-IIS","7.5",,,False,0,,,,"ASP.NET",,,False,"US","104.149.55.252"
sodepci.com,"nginx",,,"1.8.2",False,0,,,,"PHP","7.1.33",,False,,"185.98.131.151"
